------- Register File -------
reg[15] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[16] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[17] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[18] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[19] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[20] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[21] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[22] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[23] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[24] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[25] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[26] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[27] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[28] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[29] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[30] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[31] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
-----------------------------

------- Register File -------
reg[0] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[1] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[2] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[3] = 10101010101010101010101010101010
reg[4] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[5] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[6] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[7] = 01010101010101010101010101010101
reg[8] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[9] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[10] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[11] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[12] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[13] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[14] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[15] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[16] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[17] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[18] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[19] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[20] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[21] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[22] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[23] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[24] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[25] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[26] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[27] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[28] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[29] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[30] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[31] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
-----------------------------

------- Register File -------
reg[0] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[1] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[2] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[3] = 10101010101010101010101010101010
reg[4] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[5] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[6] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[7] = 11111111111111111111111111111111
reg[8] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[9] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[10] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[11] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[12] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[13] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[14] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[15] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[16] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[17] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[18] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[19] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[20] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[21] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[22] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[23] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[24] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[25] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[26] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[27] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[28] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[29] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[30] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[31] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
-----------------------------

------- Register File -------
reg[0] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[1] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[2] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[3] = 10101010101010101010101010101010
reg[4] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[5] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[6] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[7] = 11111111111111111111111111111111
reg[8] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[9] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[10] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[11] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[12] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[13] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[14] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[15] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[16] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[17] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[18] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[19] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[20] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[21] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[22] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[23] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[24] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[25] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[26] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[27] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[28] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[29] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[30] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
reg[31] = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
-----------------------------

